locus_tag	ftype	length_bp	gene	EC_number	COG	product
IMKOHAHG_00051	CDS	1368				hypothetical protein
IMKOHAHG_00052	CDS	858				hypothetical protein
IMKOHAHG_00053	CDS	594				hypothetical protein
IMKOHAHG_00054	CDS	1434				hypothetical protein
IMKOHAHG_00055	CDS	600				hypothetical protein
IMKOHAHG_00056	CDS	588				hypothetical protein
IMKOHAHG_00057	CDS	324				hypothetical protein
IMKOHAHG_00058	CDS	1047	hhaIM	2.1.1.37		Modification methylase HhaI
IMKOHAHG_00059	CDS	222				hypothetical protein
IMKOHAHG_00060	CDS	504				hypothetical protein
IMKOHAHG_00061	CDS	381				hypothetical protein
IMKOHAHG_00062	CDS	2454				hypothetical protein
IMKOHAHG_00063	CDS	2043				hypothetical protein
IMKOHAHG_00064	CDS	999				hypothetical protein
IMKOHAHG_00065	CDS	597				hypothetical protein
IMKOHAHG_00066	CDS	1275				hypothetical protein
IMKOHAHG_00067	CDS	168				hypothetical protein
IMKOHAHG_00068	CDS	297				hypothetical protein
IMKOHAHG_00069	CDS	1137				hypothetical protein
IMKOHAHG_00070	CDS	228				hypothetical protein
IMKOHAHG_00071	CDS	1323				ISL3 family transposase ISPst9
IMKOHAHG_00072	CDS	1641	merA	1.16.1.1		Mercuric reductase
IMKOHAHG_00073	CDS	393	merR1			Mercuric resistance operon regulatory protein
IMKOHAHG_00074	CDS	2274	gshAB_1		COG1181	Glutathione biosynthesis bifunctional protein GshAB
IMKOHAHG_00075	CDS	789				hypothetical protein
IMKOHAHG_00076	CDS	588	lemA_1		COG1704	Protein LemA
IMKOHAHG_00077	CDS	1920	copA	7.2.2.8		Copper-exporting P-type ATPase
IMKOHAHG_00078	CDS	273				hypothetical protein
IMKOHAHG_00079	CDS	372				hypothetical protein
IMKOHAHG_00080	CDS	378				hypothetical protein
IMKOHAHG_00081	CDS	804	lgt_1	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
IMKOHAHG_00082	CDS	1356	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
IMKOHAHG_00083	CDS	693	walR_1		COG0745	Transcriptional regulatory protein WalR
IMKOHAHG_00084	CDS	1452	mco_1	1.-.-.-		Multicopper oxidase mco
IMKOHAHG_00085	CDS	2088	copB_1	7.2.2.8		Copper-exporting P-type ATPase B
IMKOHAHG_00086	CDS	252				hypothetical protein
IMKOHAHG_00087	CDS	372				hypothetical protein
IMKOHAHG_00088	CDS	471				hypothetical protein
IMKOHAHG_00089	CDS	393				hypothetical protein
IMKOHAHG_00090	CDS	201				hypothetical protein
IMKOHAHG_00091	CDS	615				hypothetical protein
IMKOHAHG_00092	CDS	357				hypothetical protein
IMKOHAHG_00093	CDS	1401	npr_1	1.11.1.1	COG0446	NADH peroxidase
IMKOHAHG_00094	CDS	330	arsD_1			Arsenical resistance operon trans-acting repressor ArsD
IMKOHAHG_00095	CDS	135				hypothetical protein
IMKOHAHG_00096	CDS	1296	arsB_1		COG1055	Arsenical pump membrane protein
IMKOHAHG_00097	CDS	1731	arsA_1	7.3.2.7		Arsenical pump-driving ATPase
IMKOHAHG_00098	CDS	360	arsD_2			Arsenical resistance operon trans-acting repressor ArsD
IMKOHAHG_00099	CDS	360				hypothetical protein
IMKOHAHG_00100	CDS	249				hypothetical protein
IMKOHAHG_00101	CDS	1236	xerC_1			Tyrosine recombinase XerC
IMKOHAHG_00102	CDS	1557	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
IMKOHAHG_00103	CDS	921	coaA_1	2.7.1.33		Pantothenate kinase
IMKOHAHG_00104	CDS	2103	ltaS1_1		COG1368	Lipoteichoic acid synthase 1
IMKOHAHG_00105	CDS	2322				hypothetical protein
IMKOHAHG_00106	CDS	1011				hypothetical protein
IMKOHAHG_00107	CDS	393	cdd	3.5.4.5	COG0295	Cytidine deaminase
IMKOHAHG_00108	CDS	1302	pdp	2.4.2.2		Pyrimidine-nucleoside phosphorylase
IMKOHAHG_00109	CDS	948	deoR		COG2390	Deoxyribonucleoside regulator
IMKOHAHG_00110	CDS	705	deoD	2.4.2.1	COG0813	Purine nucleoside phosphorylase DeoD-type
IMKOHAHG_00111	CDS	1188	deoB	5.4.2.7	COG1015	Phosphopentomutase
IMKOHAHG_00112	CDS	669	deoC	4.1.2.4	COG0274	Deoxyribose-phosphate aldolase
IMKOHAHG_00113	CDS	2301	helD_1	3.6.4.12	COG3973	DNA helicase IV
IMKOHAHG_00114	CDS	651	dedA_1		COG0586	Protein DedA
IMKOHAHG_00115	CDS	1866				hypothetical protein
IMKOHAHG_00116	CDS	660	gpmA_1	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
IMKOHAHG_00117	CDS	1290	hflX		COG2262	GTPase HflX
IMKOHAHG_00118	CDS	879				hypothetical protein
IMKOHAHG_00119	CDS	987		1.1.1.28		D-lactate dehydrogenase
IMKOHAHG_00120	CDS	1170		2.6.1.1		Aspartate aminotransferase
IMKOHAHG_00121	CDS	1485	mltF_1	4.2.2.-		Membrane-bound lytic murein transglycosylase F
IMKOHAHG_00122	CDS	1503	xylB_1	2.7.1.17	COG1070	Xylulose kinase
IMKOHAHG_00123	CDS	1344	xylA	5.3.1.5	COG2115	Xylose isomerase
IMKOHAHG_00124	CDS	1206	nagC_1		COG1940	N-acetylglucosamine repressor
IMKOHAHG_00125	CDS	858	bglB_1	3.2.1.21	COG1472	Thermostable beta-glucosidase B
IMKOHAHG_00126	CDS	1335	bglB_2	3.2.1.21	COG1472	Thermostable beta-glucosidase B
IMKOHAHG_00127	CDS	918	bglK	2.7.1.85	COG1940	Beta-glucoside kinase
IMKOHAHG_00128	CDS	1440	bglA_1	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglA
IMKOHAHG_00129	CDS	1158	nagC_2		COG1940	N-acetylglucosamine repressor
IMKOHAHG_00130	CDS	1434	xylP_1			Isoprimeverose transporter
IMKOHAHG_00131	CDS	2280	xylQ	3.2.1.177		Alpha-xylosidase XylQ
IMKOHAHG_00132	CDS	468				Putative universal stress protein
IMKOHAHG_00133	CDS	1350	xylT_1			D-xylose transporter
IMKOHAHG_00134	CDS	1035		5.1.3.21	COG2017	Maltose epimerase
IMKOHAHG_00135	CDS	1707	malL	3.2.1.10	COG0366	Oligo-1,6-glucosidase
IMKOHAHG_00136	CDS	993	mmgB	1.1.1.157	COG1250	putative 3-hydroxybutyryl-CoA dehydrogenase
IMKOHAHG_00137	CDS	654	glnP_1		COG0765	putative glutamine ABC transporter permease protein GlnP
IMKOHAHG_00138	CDS	639	glnM		COG0765	putative glutamine ABC transporter permease protein GlnM
IMKOHAHG_00139	CDS	837	glnH		COG0834	ABC transporter glutamine-binding protein GlnH
IMKOHAHG_00140	CDS	744	glnQ_1			Glutamine transport ATP-binding protein GlnQ
IMKOHAHG_00141	CDS	1182	dapX_1	2.6.1.-	COG0436	putative N-acetyl-LL-diaminopimelate aminotransferase
IMKOHAHG_00142	CDS	822				hypothetical protein
IMKOHAHG_00143	CDS	384				hypothetical protein
IMKOHAHG_00144	CDS	441	zur		COG0735	Zinc-specific metallo-regulatory protein
IMKOHAHG_00145	CDS	564	gmk_1	2.7.4.8		Guanylate kinase
IMKOHAHG_00146	CDS	411				hypothetical protein
IMKOHAHG_00147	CDS	1404	yhdG_1		COG0531	putative amino acid permease YhdG
IMKOHAHG_00148	CDS	1179				hypothetical protein
IMKOHAHG_00149	CDS	1071	potD		COG0687	Spermidine/putrescine-binding periplasmic protein
IMKOHAHG_00150	CDS	822	ydcV			Inner membrane ABC transporter permease protein YdcV
IMKOHAHG_00151	CDS	810	potB		COG1176	Spermidine/putrescine transport system permease protein PotB
IMKOHAHG_00152	CDS	1086	potA	7.6.2.11		Spermidine/putrescine import ATP-binding protein PotA
IMKOHAHG_00153	CDS	2403	pepX	3.4.14.11		Xaa-Pro dipeptidyl-peptidase
IMKOHAHG_00154	CDS	537	bioY2		COG1268	Biotin transporter BioY2
IMKOHAHG_00155	CDS	1032	birA_1	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
IMKOHAHG_00156	CDS	912	fpaP	3.4.11.5		Proline iminopeptidase
IMKOHAHG_00157	CDS	627	gph_1	3.1.3.18	COG0546	Phosphoglycolate phosphatase
IMKOHAHG_00158	CDS	1545	ybiT_1		COG0488	putative ABC transporter ATP-binding protein YbiT
IMKOHAHG_00159	CDS	381			COG0346	Virulence protein
IMKOHAHG_00160	CDS	1491	thrC	4.2.3.1	COG0498	Threonine synthase
IMKOHAHG_00161	CDS	1281	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
IMKOHAHG_00162	CDS	867	thrB_1	2.7.1.39	COG0083	Homoserine kinase
IMKOHAHG_00163	CDS	1803	thrS_1	6.1.1.3	COG0441	Threonine--tRNA ligase
IMKOHAHG_00164	CDS	948				putative epimerase/dehydratase
IMKOHAHG_00165	CDS	1188		2.3.1.-		Putative pyridoxal phosphate-dependent acyltransferase
IMKOHAHG_00166	CDS	1353	steT_1		COG0531	Serine/threonine exchanger SteT
IMKOHAHG_00167	CDS	1356	cycA_1		COG1113	D-serine/D-alanine/glycine transporter
IMKOHAHG_00168	CDS	1038	tdcB	4.3.1.19		L-threonine dehydratase catabolic TdcB
IMKOHAHG_00169	CDS	1110	ald1	1.4.1.1		Alanine dehydrogenase 1
IMKOHAHG_00170	CDS	801		3.1.3.-	COG0561	Putative phosphatase
IMKOHAHG_00171	CDS	999				hypothetical protein
IMKOHAHG_00172	CDS	1242				hypothetical protein
IMKOHAHG_00173	CDS	1200	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
IMKOHAHG_00174	CDS	1071	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
IMKOHAHG_00175	CDS	993				hypothetical protein
IMKOHAHG_00176	CDS	900				hypothetical protein
IMKOHAHG_00177	CDS	765	ytrE		COG1136	ABC transporter ATP-binding protein YtrE
IMKOHAHG_00178	CDS	867	glxR	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
IMKOHAHG_00179	CDS	954	ydhF	1.-.-.-	COG4989	Oxidoreductase YdhF
IMKOHAHG_00180	CDS	327	trxA_1		COG0526	Thioredoxin
IMKOHAHG_00181	CDS	750	alx		COG0861	Putative membrane-bound redox modulator Alx
IMKOHAHG_00182	CDS	888				hypothetical protein
IMKOHAHG_00183	CDS	972				hypothetical protein
IMKOHAHG_00184	CDS	978	yxeI_1		COG3049	putative protein YxeI
IMKOHAHG_00185	CDS	918				hypothetical protein
IMKOHAHG_00186	CDS	1059	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
IMKOHAHG_00187	CDS	450				hypothetical protein
IMKOHAHG_00188	CDS	435		2.3.1.-		Acetyltransferase
IMKOHAHG_00189	CDS	888	mhqA	1.13.11.-	COG0346	Putative ring-cleaving dioxygenase MhqA
IMKOHAHG_00190	CDS	657	cobC	3.1.3.73	COG0406	Adenosylcobalamin/alpha-ribazole phosphatase
IMKOHAHG_00191	CDS	261				hypothetical protein
IMKOHAHG_00192	CDS	2133	ltaS1_2		COG1368	Lipoteichoic acid synthase 1
IMKOHAHG_00193	CDS	666				hypothetical protein
IMKOHAHG_00194	CDS	996	yumC	1.18.1.2	COG0492	Ferredoxin--NADP reductase 2
IMKOHAHG_00195	CDS	957	rihA	3.2.-.-	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihA
IMKOHAHG_00196	CDS	564	ykoE		COG4721	Putative HMP/thiamine permease protein YkoE
IMKOHAHG_00197	CDS	1410	ykoD	3.6.3.-	COG1122	Putative HMP/thiamine import ATP-binding protein YkoD
IMKOHAHG_00198	CDS	654				hypothetical protein
IMKOHAHG_00199	CDS	330				hypothetical protein
IMKOHAHG_00200	CDS	1359	gshAB_2		COG1181	Glutathione biosynthesis bifunctional protein GshAB
IMKOHAHG_00201	CDS	321	nhaK_2		COG0025	Sodium, potassium, lithium and rubidium/H(+) antiporter
IMKOHAHG_00202	CDS	1614	nhaK_3		COG0025	Sodium, potassium, lithium and rubidium/H(+) antiporter
IMKOHAHG_00203	CDS	936	menH	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
IMKOHAHG_00204	CDS	924		3.1.1.23	COG2267	Monoacylglycerol lipase
IMKOHAHG_00205	CDS	411				hypothetical protein
IMKOHAHG_00206	CDS	855				hypothetical protein
IMKOHAHG_00207	CDS	477				hypothetical protein
IMKOHAHG_00208	CDS	399				hypothetical protein
IMKOHAHG_00209	CDS	1011	lplJ_1	6.3.1.20	COG0095	Lipoate-protein ligase LplJ
IMKOHAHG_00210	CDS	447				Putative universal stress protein
IMKOHAHG_00211	CDS	2376	xpkA_1	4.1.2.9		Xylulose-5-phosphate phosphoketolase
IMKOHAHG_00212	CDS	1146	garK	2.7.1.165	COG1929	Glycerate 2-kinase
IMKOHAHG_00213	CDS	1311				hypothetical protein
IMKOHAHG_00214	CDS	729	gmuR		COG2188	HTH-type transcriptional regulator GmuR
IMKOHAHG_00215	CDS	498	ybaK	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
IMKOHAHG_00216	CDS	759				hypothetical protein
IMKOHAHG_00217	CDS	672	yedJ		COG1418	putative protein YedJ
IMKOHAHG_00218	CDS	273				hypothetical protein
IMKOHAHG_00219	CDS	507	aroK	2.7.1.71	COG0703	Shikimate kinase 1
IMKOHAHG_00220	CDS	840	tyrC	1.3.1.43		Cyclohexadienyl dehydrogenase
IMKOHAHG_00221	CDS	1296	aroA1	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase 1
IMKOHAHG_00222	CDS	1176	aroC	4.2.3.5	COG0082	Chorismate synthase
IMKOHAHG_00223	CDS	1077	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
IMKOHAHG_00224	CDS	1029	kdsA	2.5.1.55		2-dehydro-3-deoxyphosphooctonate aldolase
IMKOHAHG_00225	CDS	900	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
IMKOHAHG_00226	CDS	165				hypothetical protein
IMKOHAHG_00227	CDS	774	aroD	4.2.1.10	COG0710	3-dehydroquinate dehydratase
IMKOHAHG_00228	CDS	420	arsC_1	1.20.4.4	COG0394	Arsenate reductase
IMKOHAHG_00229	CDS	645				hypothetical protein
IMKOHAHG_00230	CDS	1623			COG3559	Multidrug efflux system permease protein
IMKOHAHG_00231	CDS	927		7.6.2.-	COG1131	Multidrug efflux system ATP-binding protein
IMKOHAHG_00232	CDS	252				hypothetical protein
IMKOHAHG_00233	CDS	318				hypothetical protein
IMKOHAHG_00234	CDS	1428	pepDA	3.4.-.-	COG4690	Dipeptidase A
IMKOHAHG_00235	CDS	1467	emrB_1			Multidrug export protein EmrB
IMKOHAHG_00236	CDS	498				hypothetical protein
IMKOHAHG_00237	CDS	783	ydjP	3.-.-.-	COG0596	AB hydrolase superfamily protein YdjP
IMKOHAHG_00238	CDS	741	coaA_2	2.7.1.33	COG1072	Pantothenate kinase
IMKOHAHG_00239	CDS	903	cynR_1			HTH-type transcriptional regulator CynR
IMKOHAHG_00240	CDS	1593	carA_1	2.8.3.23	COG4670	Caffeate CoA-transferase
IMKOHAHG_00241	CDS	1212	fabV	1.3.1.44	COG3007	Trans-2-enoyl-CoA reductase [NADH]
IMKOHAHG_00242	CDS	441	phaJ	4.2.1.119	COG2030	(R)-specific enoyl-CoA hydratase
IMKOHAHG_00243	CDS	741	gla		COG0580	Glycerol facilitator-aquaporin gla
IMKOHAHG_00244	CDS	786	crt	4.2.1.150	COG1024	Short-chain-enoyl-CoA hydratase
IMKOHAHG_00245	CDS	792	kduD_1	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
IMKOHAHG_00246	CDS	690				hypothetical protein
IMKOHAHG_00247	CDS	459				hypothetical protein
IMKOHAHG_00248	CDS	1098	tdh	1.1.1.103		L-threonine 3-dehydrogenase
IMKOHAHG_00249	CDS	1317	ttuB			Putative tartrate transporter
IMKOHAHG_00250	CDS	873	rhaS_1			HTH-type transcriptional activator RhaS
IMKOHAHG_00251	CDS	993	gpr	1.1.1.-	COG0667	L-glyceraldehyde 3-phosphate reductase
IMKOHAHG_00252	CDS	564	maa_1	2.3.1.79	COG0110	Maltose O-acetyltransferase
IMKOHAHG_00253	CDS	1425	araA	5.3.1.4		L-arabinose isomerase
IMKOHAHG_00254	CDS	1083	araR		COG1609	Arabinose metabolism transcriptional repressor
IMKOHAHG_00255	CDS	657	gpmA_2	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
IMKOHAHG_00256	CDS	849	ytbE	1.-.-.-	COG0656	putative oxidoreductase YtbE
IMKOHAHG_00257	CDS	1374	csbC			putative metabolite transport protein CsbC
IMKOHAHG_00258	CDS	732	araD	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase
IMKOHAHG_00259	CDS	1608	xylB_2	2.7.1.17		Xylulose kinase
IMKOHAHG_00260	CDS	2607	adhE		COG1012	Aldehyde-alcohol dehydrogenase
IMKOHAHG_00261	CDS	1113				hypothetical protein
IMKOHAHG_00262	CDS	267				hypothetical protein
IMKOHAHG_00263	CDS	534				hypothetical protein
IMKOHAHG_00264	CDS	930				hypothetical protein
IMKOHAHG_00265	CDS	297				hypothetical protein
IMKOHAHG_00266	CDS	1365		2.1.1.-	COG2265	putative RNA methyltransferase
IMKOHAHG_00267	CDS	1023	dagK	2.7.1.107	COG1597	Diacylglycerol kinase
IMKOHAHG_00268	CDS	1428	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
IMKOHAHG_00269	CDS	1470	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
IMKOHAHG_00270	CDS	312	gatC	6.3.5.-		Glutamyl-tRNA(Gln) amidotransferase subunit C
IMKOHAHG_00271	CDS	1464	aldA	1.2.1.22	COG1012	Lactaldehyde dehydrogenase
IMKOHAHG_00272	CDS	1122	xylB_3	1.1.1.90		Aryl-alcohol dehydrogenase
IMKOHAHG_00273	CDS	1122				hypothetical protein
IMKOHAHG_00274	CDS	2031	ligA	6.5.1.2	COG0272	DNA ligase
IMKOHAHG_00275	CDS	2238	pcrA	3.6.4.12	COG0210	ATP-dependent DNA helicase PcrA
IMKOHAHG_00276	CDS	1158	purK_1	6.3.4.18		N5-carboxyaminoimidazole ribonucleotide synthase
IMKOHAHG_00277	CDS	579	xpt	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
IMKOHAHG_00278	CDS	642				hypothetical protein
IMKOHAHG_00279	CDS	909	menA	2.5.1.74		1,4-dihydroxy-2-naphthoate octaprenyltransferase
IMKOHAHG_00280	CDS	978	hepT	2.5.1.30	COG0142	Heptaprenyl diphosphate synthase component 2
IMKOHAHG_00281	CDS	1734			COG1132	putative ABC transporter ATP-binding/permease protein
IMKOHAHG_00282	CDS	1815	cydD		COG4988	ATP-binding/permease protein CydD
IMKOHAHG_00283	CDS	1023	cydB	7.1.1.7	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
IMKOHAHG_00284	CDS	1443	appC	7.1.1.3	COG1271	Cytochrome bd-II ubiquinol oxidase subunit 1
IMKOHAHG_00285	CDS	1014	lplJ_2	6.3.1.20	COG0095	Lipoate-protein ligase LplJ
IMKOHAHG_00286	CDS	1437	yhdG_2		COG0531	putative amino acid permease YhdG
IMKOHAHG_00287	CDS	1986	nagE		COG1263	PTS system N-acetylglucosamine-specific EIICBA component
IMKOHAHG_00288	CDS	705			COG1136	putative ABC transporter ATP-binding protein
IMKOHAHG_00289	CDS	2487				hypothetical protein
IMKOHAHG_00290	CDS	819	yidA_1	3.1.3.23	COG0561	Sugar phosphatase YidA
IMKOHAHG_00291	CDS	957				hypothetical protein
IMKOHAHG_00292	CDS	237				hypothetical protein
IMKOHAHG_00293	CDS	1758				hypothetical protein
IMKOHAHG_00294	CDS	210				hypothetical protein
IMKOHAHG_00295	CDS	828	rhaS_2			HTH-type transcriptional activator RhaS
IMKOHAHG_00296	CDS	1665	xynB_1	3.2.1.37		Beta-xylosidase
IMKOHAHG_00297	CDS	1242				hypothetical protein
IMKOHAHG_00298	CDS	573	geoA	1.1.1.347		Geraniol dehydrogenase
IMKOHAHG_00299	CDS	1089				IS110 family transposase ISSpi3
IMKOHAHG_00300	CDS	315	xylB_4	1.1.1.90		Aryl-alcohol dehydrogenase
IMKOHAHG_00301	CDS	1239				hypothetical protein
IMKOHAHG_00302	CDS	2010				hypothetical protein
IMKOHAHG_00303	CDS	1191				hypothetical protein
IMKOHAHG_00304	CDS	414	rhaS_3			HTH-type transcriptional activator RhaS
IMKOHAHG_00305	CDS	372				hypothetical protein
IMKOHAHG_00306	CDS	453				hypothetical protein
IMKOHAHG_00307	CDS	414				hypothetical protein
IMKOHAHG_00308	CDS	1137	iolG	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
IMKOHAHG_00309	CDS	1533	yjmB_1		COG2211	putative symporter YjmB
IMKOHAHG_00310	CDS	1302				hypothetical protein
IMKOHAHG_00311	CDS	1077	RBKS	2.7.1.15		Ribokinase
IMKOHAHG_00312	CDS	741	dgaF	4.1.2.14		2-dehydro-3-deoxy-phosphogluconate aldolase
IMKOHAHG_00313	CDS	1101	dgaE	4.3.1.29		D-glucosaminate-6-phosphate ammonia lyase
IMKOHAHG_00314	CDS	1116		3.1.1.-	COG3964	Deacetylase
IMKOHAHG_00315	CDS	660				hypothetical protein
IMKOHAHG_00316	CDS	777				hypothetical protein
IMKOHAHG_00317	CDS	375				hypothetical protein
IMKOHAHG_00318	CDS	363				hypothetical protein
IMKOHAHG_00319	CDS	333				hypothetical protein
IMKOHAHG_00320	CDS	1842				hypothetical protein
IMKOHAHG_00321	CDS	393	rpsI		COG0103	30S ribosomal protein S9
IMKOHAHG_00322	CDS	444	rplM			50S ribosomal protein L13
IMKOHAHG_00323	CDS	771	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
IMKOHAHG_00324	CDS	801	ecfT			Energy-coupling factor transporter transmembrane protein EcfT
IMKOHAHG_00325	CDS	873	ecfA2	3.6.3.-		Energy-coupling factor transporter ATP-binding protein EcfA2
IMKOHAHG_00326	CDS	831	ecfA1	7.-.-.-	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA1
IMKOHAHG_00327	CDS	384	rplQ			50S ribosomal protein L17
IMKOHAHG_00328	CDS	945	rpoA	2.7.7.6		DNA-directed RNA polymerase subunit alpha
IMKOHAHG_00329	CDS	390	rpsK			30S ribosomal protein S11
IMKOHAHG_00330	CDS	366	rpsM		COG0099	30S ribosomal protein S13
IMKOHAHG_00331	CDS	120	rpmJ		COG0257	50S ribosomal protein L36
IMKOHAHG_00332	CDS	219	infA		COG0361	Translation initiation factor IF-1
IMKOHAHG_00333	CDS	660	adk	2.7.4.3		Adenylate kinase
IMKOHAHG_00334	CDS	1299	secY			Protein translocase subunit SecY
IMKOHAHG_00335	CDS	435	rplO			50S ribosomal protein L15
IMKOHAHG_00336	CDS	183	rpmD		COG1841	50S ribosomal protein L30
IMKOHAHG_00337	CDS	501	rpsE		COG0098	30S ribosomal protein S5
IMKOHAHG_00338	CDS	357	rplR		COG0256	50S ribosomal protein L18
IMKOHAHG_00339	CDS	537	rplF		COG0097	50S ribosomal protein L6
IMKOHAHG_00340	CDS	399	rpsH		COG0096	30S ribosomal protein S8
IMKOHAHG_00341	CDS	543	rplE		COG0094	50S ribosomal protein L5
IMKOHAHG_00342	CDS	309	rplX			50S ribosomal protein L24
IMKOHAHG_00343	CDS	369	rplN		COG0093	50S ribosomal protein L14
IMKOHAHG_00344	CDS	267	rpsQ			30S ribosomal protein S17
IMKOHAHG_00345	CDS	207	rpmC			50S ribosomal protein L29
IMKOHAHG_00346	CDS	435	rplP		COG0197	50S ribosomal protein L16
IMKOHAHG_00347	CDS	672	rpsC		COG0092	30S ribosomal protein S3
IMKOHAHG_00348	CDS	348	rplV		COG0091	50S ribosomal protein L22
IMKOHAHG_00349	CDS	282	rpsS		COG0185	30S ribosomal protein S19
